E1260	O prazo de aceitação da versão do leiaute da NFS-e expirou.	versao	Prazo de aceitação da versão do leiaute NFS-e ultrapassado.
E0593	Não permitido o valor "0 - Imunidade (tipo não informado na nota de origem)" na DPS quando utilizado os Emissores Públicos Nacionais para emissao de NFS-e.		
E0585	Somente é permitido informar suspensão de exigibilidade quando a opção da tributação do ISSQN for uma operação tributável  \n (tribISSQN = 1).	exigSusp	Não é permitido informar suspensão da exigibilidade do ISSQN por decisão judicial ou administrativa, quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sob
E0533	Não é permitido informar Benefício Municipal (BM deve ser nulo) quando o serviço prestado diferente de Tributável (tribISSQN = 1), ou seja, tribISSQN = 2, 3 ou 4.	BM	Não é permitido informar BM quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo referente à tributação do ISSQN
E0534	Não é permitido o preenchimento de informações relativas à benefício municipal para o prestador de serviço MEI.		
E0535	Não é permitido informar benefício municipal quando o prestador de serviço tiver um regime especial de tributação, ou seja, o campo que indica o regime especial de tributação é diferente de 0, (regEspTrib = 1, 2, 3, 4, 5, 6 ou 9).		
E0537	Não é permitido informar benefício municipal (BM deve ser nulo) quando o município de incidência do ISSQN não está "Ativo" no Sistema Nacional NFS-e.		
E0536	Não é permitido o preenchimento de informações relativas à benefício municipal para o prestador de serviço ME/EPP, apurando pelo SN, conforme parametrização do código de serviço admnistrado pelo municipio de incidência do ISSQN.		
E0541	Não existe o código de identificação do benefício municipal informado na DPS para o municipío de incidência do ISSQN.	nBM	O código de identificação do Benefício Municipal não existente para municipio de incidência do ISSQN.
E0544	Período de vigência expirado para o código de identificação do Benefício Municipal no municipío de incidência do ISSQN para a data de competência informada na DPS.		
E0548	O Benefício Municipal informado na DPS não permite benefício para prestadores de serviço que não estejam estabelecidos no município de incidência do ISSQN.		
E0550	O código de identificação de Benefício Municipal, informada na DPS, não permite benefício para o código de tributação e/ou prestador (CPF ou CNPJ) informado na DPS, conforme parametrização do município de incidência do ISSQN.		
E0565	Não é permitido informar um valor monetário de redução de base de cálculo do ISSQN por benefício municipal, se o código de identificação do Benefício Municipal não corresponder ao tipo de redução por valor monetário.	vRedBCBM	Somente é permitido informar vRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por Valor Monetário.
E0567	É obrigatório informar vRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por Valor Monetário.		
E0574	O valor monetário do benefício municipal informado na DPS não pode ser superior ao valor do serviço.		
E0575	O valor monetário do benefício municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.		
E0577	Não é permitido informar um valor percentual de redução de base de cálculo do ISSQN por benefício municipal, se o código de identificação do Benefício Municipal não corresponder ao tipo de redução por valor percentual.	pRedBCBM	Somente é permitido informar pRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por percentual.
E0579	É obrigatório informar pRedBCBM quando o código de identificação do Benefício Municipal (nBM) for um benefício do tipo Redução de Base de Cálculo por percentual.		
E0586	O valor percentual para redução da base de cálculo deve ser maior que 0 e menor ou igual ao percentual parametrizado pelo município de incidência do ISSQN.		
E0587	O valor percentual do benefício municipal informado na DPS não pode reduzir o valor da BC de forma que resulte no valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.		
E0580	Não é permitido haver retenção quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.	 tpRetISSQN	Não é permitido haver retenção do ISSQN (tpRetISSQN = 2 ou 3) quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o camp
E0583	Não é permitido retenção do ISSQN para o prestador do serviço que seja MEI na data de competência informada na DPS.		
E0588	Não é permitido retenção do ISSQN para o prestador do serviço que tenha algum regime especial de tributação na data de competência informada na DPS.		
E0594	Não é permitido retenção do ISSQN quando houver Benefício Municipal do tipo Isenção.		
E0596	Não é permitido retenção do ISSQN quando o serviço prestado corresponder ao subitem 220101 - Serviço de exploração de rodovia da lista de serviços do Sistema Nacional NFS-e.		
E0650	Em caso de importação de serviço pelo tomador, o ISSQN deve ser retido pelo tomador.		
E0652	Em caso de importação de serviço pelo intermediário, o ISSQN deve ser retido pelo intermediário.		
E0667	Município da incidência do ISSQN não autoriza que o CPF do tomador informado na DPS seja indicado para retenção deste imposto.		
E0670	Município da incidência do ISSQN não autoriza que o CPF do intermediário informado na DPS seja indicado para retenção deste imposto.		
E0672	Não pode haver retenção do ISSQN se e o tomador for o emitente da DPS e estiver estabelecido em município diferente do município de incidência do ISSQN.		
E0673	Não pode haver retenção do ISSQN se e o intermediário for o emitente da DPS e estiver estabelecido em município diferente do município de incidência do ISSQN.		
E0595	Não é permitido informar alíquota superior a 5%.	pAliq	Não é permitido informar alíquota superior a 5%.
E0600	Não é permitido informar a alíquota para prestador de serviço optante do simples nacional do tipo MEI.		
E0602	Não é permitido informar alíquota quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.		
E0604	Não é permitido informar alíquota quando o prestador de serviço possui algum regime especial de tributação.		
E0612	Não é permitido informar alíquota quando o benefício municipal informado na DPS for do tipo "Isenção" ou "Alíquota Diferenciada".		
E0617	Não é permitido informar alíquota quando o prestador de serviço não é optante do simples nacional (opSimpNac = 1) na data de competência informada na DPS, com o município de incidência do ISSQN com situação "ATIVO" no Sistema Nacional NFS-e.		
E0619	É obrigatório informar alíquota quando o prestador de serviço não é optante do simples nacional (opSimpNac = 1) na data de competência informada na DPS, o município de incidência do ISSQN não está com situação "ATIVO" no Sistema Nacional NFS-e e não haja algum regime especial de tributaçao para o prestador.		
E0621	É obrigatório informar alíquota quando há indicação de retenção do ISSQN (tpRetISSQN = 2 ou 3) para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1), sem benefício municipal ou, se houver, seja diferente de isenção ou alíquota diferenciada, cujo município de incidência esteja Ativo no Sistema Nacional NFS-e. Obs: neste cenário, o percentual da alíquota mínima informada permitida é 1,8%.		
E0625	Não é permitido informar alíquota quando não há indicação de retenção do ISSQN (tpRetISSQN = 1) para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1), sem benefício municipal ou, se houver, seja diferente de isenção ou alíquota diferenciada, cujo município de incidência esteja Ativo no Sistema Nacional NFS-e.		
E0628	É obrigatório informar alíquota quando o município de incidência do ISSQN não está Ativo no Sistema Nacional NFS-e, para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1), com retenção do ISSQN (tpRetISSQN = 2 ou 3). Obs: neste cenário, o percentual da alíquota mínima informada permitida é 1,8%.		
E0631	Não é permitido informar alíquota quando o município de incidência do ISSQN não está Ativo no Sistema Nacional NFS-e, para o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN pelo simples nacional (regApTribISSQN = 1) sem retenção do ISSQN (tpRetISSQN = 1).		
E0635	Não é permitido informar alíquota quando o convênio do município de incidência do ISSQN está ativo na data de competência informada na DPS, para o prestador de serviço ME/EPP (opSimpNac = 3) com a apuração do ISSQN fora do Simples Nacional, ou seja, pela alíquota do município para o serviço prestado (regApTribSN = 2 ou 3).		
E0640	É obrigatório informar alíquota quando o prestador de serviço ME/EPP (opSimpNac = 3) na data de competência informada na DPS, com apuração do ISSQN fora do Simples Nacional (regApTribISSQN = 2 ou 3), ou seja, pela alíquota do município para o serviço prestado, cujo município de incidência não esteja "Ativo" no Sistema Nacional NFS-e.		
E0675	Não é permitido a prestação de informações relativas aos tributos federais quando o emitente da DPS for identificado por um pessoa física (CPF).	tribFed	Não é permitido o preenchimento das informações relativas aos tributos federais quando o emitente da DPS for identificado por uma pessoa física (CPF).
E0676	Não é permitido o preenchimento das informações relativas aos tributos federais quando o emitente for identificado como MEI na data de competência informada na DPS.		
E0677	O valor da BC para Pis/Cofins deve ser menor ou igual ao valor do serviço informado na DPS.	vBCPisCofins	O valor da BC para Pis/Cofins deve ser menor ou igual ao valor do serviço informado na DPS.
E0686	A alíquota do Pis deve ser igual ou maior que 0 e menor ou igual a 100%.	pAliqPis	Se a alíquota do Pis (pAliqPis) for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.
E0692	A alíquota do Cofins deve ser igual ou maior que 0 e menor ou igual a 100%.	pAliqCofins	Se a alíquota do Cofins (pAliqCofins) for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.
E0694	O valor do Pis informado não corresponde ao resultado da BC Pis/Cofins x Alíquota Pis, que foram informados na DPS.	vPis	Se o valor da alíquota do Pis (pAliqPis) for informado, então o valor do Pis informado na DPS deve ser igual ao valor da base de cálculo do Pis/Cofins x alíquota do Pis, que foram informados na DP
E0696	O valor do Cofins informado não corresponde ao resultado da BC Pis/Cofins x Alíquota Cofins, que foram informados na DPS.	vCofins	Se o valor da alíquota do Cofins (pAliqCofins) for informado, então o valor Cofins informado na DPS deve ser igual ao valor da base de cálculo do Pis/Cofins x alíquota do Cofins , que foram inform
E0699	O valor do tributo CP deve ser maior que zero e menor que o valor do serviço informado na DPS.	vRetCP	Se o valor do tributo CP for informado, então deve ser maior que zero e menor que o valor do serviço informado na DPS.
E0700	O valor do tributo IRRF deve ser maior que zero e menor que o valor do serviço informado na DPS.	vRetIRRF	Se o valor do tributo IRRF for informado, então deve ser maior que zero e menor que o valor do serviço informado na DPS.
E0720	Se o tipo de retenção do PIS/COFINS for igual a "0 - PIS/COFINS/CSLL Não Retidos", então não é permitido informar o campo vRetCSLL.	vRetCSLL	Se o tipo de retenção do PIS/COFINS/CSLL for igual a "0 - PIS/COFINS/CSLL Não Retidos", então não é permitido informar o campo vRetCSLL.
E0724	Se o tipo de retenção do PIS/COFINS for diferente de "0 - PIS/COFINS/CSLL Não Retidos" ou  \n de "2 - PIS/COFINS Não Retido", então é obrigatório informar o campo vRetCSLL.		
E0701	O valor do tributo CSLL deve ser maior que zero e menor que o valor do serviço informado na DPS.		
E0702	Se o valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.	vTotTribFed	Se valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.
E0703	Se o valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.	vTotTribEst	Se valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.
E0704	Se o valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.	vTotTribMun	Se valor for informado, então deve ser igual ou maior que 0 e menor ou igual o valor do serviço.
E0706	Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.	pTotTribFed	Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.
E0707	Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.	pTotTribEst	Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.
E0708	Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.	pTotTribMun	Se a alíquota for informada, então deve ser igual ou maior que 0 e menor ou igual a 100%.
E0712	Para ME/EPP indTotTrib nunca poderá ser informado.	indTotTrib	Se a situação do emitente da DPS perante o Simples Nacional na data de competência informada for ME/EPP, o choice indTotTrib nunca poderá ser informado.
E0713	Para Não Optante do SN os campos, indicador de informação de valor total de tributos e  percentual aproximado do total dos tributos da alíquota do Simples Nacional (%), não podem ser informado.		
E0710	Para MEI pTotTribSN nunca poderá ser informado.		
E0850	É permitido declarar informações de IBS/CBS somente a partir da data de competência 01/01/2026.	IBSCBS	É permitido declarar informações de IBS/CBS somente a partir da data de competência 01/01/2026.
E0854	Somente é permitio declarar informações de IBS/CBS a partir da versão 1,01 da DPS.		
E0901	Código indicador da operação inexistente.	cIndOp	O código indicador da operação deve constar na tabela de códigos conforme ANEXO C.
E0903	Código do tipo de Operação (tpOper) deve ser informado quando se tratar de uma compra governamental ou um dos serviços da LC 116/2003 listados: 25.05; 15.09; 17.12; 10.05.	tpOper	tpOper deve ser informado se tpEnteGov for informado ou se o serviço prestado (cTribNac) corresponder aos serviços listados da LC 116/2003 (e seus correspondentes na NBS): 25.05; 15.09; 17.12; 10.05
E0904	Código do tipo de Operação (tpOper) não pode ser informado quando não se tratar de uma compra governamental ou um dos serviços da LC 116/2003 listados: 25.05; 15.09; 17.12; 10.05.		
E0905	O grupo de documentos referenciados deve ser informado para o tipo de operação (tpOper).	gRefNFSe	O grupo de documentos referenciados (gRefNFSe) deve ser informado quando tpOper = 2 ou 3.
E0906	O grupo de documentos referenciados não pode ser informado para o tipo de operação (tpOper).		
E0907	NFS-e referenciada é inválida.	refNFSe	A chave NFS-e referenciada deve ser uma chave válida (validar DV)
E0910	O destinatário não deve ser identificado para o código indicador indDest informado.	dest	O destinatário só deve ser identificado quando indDest for 1.
E0911	CNPJ do destinatário informado na DPS é inválido.	CNPJ	CNPJ informado na DPS é inválido (verificar DV).
E0912	CNPJ do destinatário não encontrado no cadastro CNPJ na data de competência.		
E0913	CPF do destinatário informado na DPS é inválido.	CPF	CPF informado na DPS é inválido (verificar DV).
E0914	CPF do destinatário não encontrado no cadastro CPF na data de competência.		
E0920	O código do município para o endereço do destinatário do serviço não existe conforme tabela de município do IBGE.	cMun	O código do município para o endereço do destinatário do serviço não existe, conforme tabela IBGE.
E0921	O código do município informado na DPS para o endereço do destinatário do serviço, identificado pelo CNPJ, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.		
E0922	O código do município informado na DPS para o endereço do destinatário do serviço, identificado pelo CPF, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.		
E0930	E-mail inválido.	email	E-mail deve ser informado conforme estrutura (conter @, ponto etc.).
E0931	Não é permitido o grupo de informações relativo a imóvel quando o código de tributação nacional, relativo à construção civil, for infomado na DPS.	imovel	Se o código de tributação nacional (cTribNac) pertencer a um dos subitens, 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de 
E0932	É obrigatório o grupo de informações relativo ao imóvel na DPS quando o código indicador da operação informado for relacionado à imóvel conforme a tabela IndOp do ANEXO_C-INDOP_IBSCBS-SNNFSe-ESPEC.		
E0928	Não é permitido o grupo de informações relativo a imóvel quando o código de tributação nacional (cTribNac) não pertencer a algum dos subitens 07.02.01, 07.02.02, 07.04.01, 07.05,01, 07.05.02, 07.06.01, 07.06.02, 07.07.01, 07.08.01, 07.17.01 e 07.19.01 da lista de serviços e, o código indicador da operação (cIndOp) não for relativo a operações com imóveis (020101, 020201 ou 020301), conforme a tabela IndOp do ANEXO_C-INDOP_IBSCBS-SNNFSe-ESPEC.		
E0933	Código CIB inválido.	cCIB	Código do Cadastro Imobiliário Brasileito - CIB deve ser um código válido - 7 caracteres + DV
E0934	O grupo de informações de endereço da atividade sobre bem imóvel ocorrido no exterior deve ser informado quando o país do local da prestação for informado na DPS.	endExt	Se o pais local da prestação do serviço foi informado (cPaisPrestacao foi informado), então o grupo de informações de endereço no exterior deve ser informado.
E0935	O grupo de informações de endereço da atividade sobre bem imóvel ocorrido no exterior não deve ser informado quando o município do local da prestação for informado na DPS.		
E0940	Chave DF-e incorreta.	chaveDFe	A chave do Documento Fiscal eletrônico - DF-e deve estar no formato DF-e indicado no tipo. \n Verificar tamanho: NFSe - 50 dígitos e NFe e CTe - 44 dígitos
E0942	Outros documentos ficais fiscais não podem ser informados quando a data de competência for posterior a 31 de dezembro de 2025.	docFiscalOutro	Outros documentos fiscais só podem ser informados se a data de competência do documento (dtCompDoc) for anterior a 31/12/2025.
E0943	O código do município emissor do documento fiscal para fins de reembolso, repasse e ressarcimento que não está no repositório nacional está incorreto.	cMunDocFiscal	O código deve existir conforme tabela de município do IBGE.
E0945	CNPJ do fornecedor de reembolso, repasse e ressarcimento informado na DPS é inválido.	CNPJ	CNPJ informado na DPS é inválido (verificar DV).
E0946	CNPJ do fornecedor de reembolso, repasse e ressarcimento informado não encontrado no cadastro CNPJ na data de competência.		
E0947	CPF do fornecedor de reembolso, repasse e ressarcimento informado informado na DPS é inválido.	CPF	CPF informado na DPS é inválido (verificar DV).
E0948	CPF do fornecedor de reembolso, repasse e ressarcimento informado não encontrado no cadastro CPF na data de competência.		
E0950	Data de emissão do documento tem que ser igual ou posterior à data de competência (dtCompDoc)	dtEmiDoc	Data de emissão do documento tem que ser igual ou posterior à data de competência (dtCompDoc)
E0951	Data de competência do documento tem que ser igual ou anterior à data de emissão (dtEmiDoc)	dtCompDoc	Data de competência do documento tem que ser igual ou anterior à data de emissão (dtEmiDoc)
E0952	A descrição do tipo de reembolso, repasse e ressarcimento não deve ser preenchida.	xTpReeRepRes	A descrição do tipo de reembolso, repasse e ressarcimento só deve ser informada quando o tpReeRepRes = 99
E0953	O valor reembolso, repasse e ressarcimento deve ser menor ou igual ao valor do serviço prestado.	vlrReeRepRes	O valor reembolso, repasse e ressarcimento deve ser menor ou igual ao valor do serviço prestado.
E0958	cClassTrib para IBS/CBS incorreto para operação de prestação de serviços.	cClassTrib	Código da classificação tributária - cClassTrib informado não é suportado para as operações de prestação de serviços (validoParaSiglaDfeInformado = false)
E0959	cClassTrib não pertence ao grupo CST indicado.		
E0964	Grupo de tributação regular não deve ser informado.	gTribRegular	Grupo de tributação regular não deve ser informado quando o indicador para tributação regular (exigeGrupoTributacaoRegular) para o Código da Classificação Tributária - cClassTribIBSCBS for ig
E0965	Grupo de tributação regular deve ser informado.		
E0969	cClassTribReg para IBS/CBS incorreto para operação de prestação de serviços.	cClassTribReg	Código da classificação tributária - cClassTribReg informado não é suportado para as operações de prestação de serviços (validoParaSiglaDfeInformado = false)
E0970	cClassTribReg não pertence ao grupo CST indicado em CSTReg.		
E0971	Grupo de diferimento para IBS/CBS não deve ser informado.	gDif	O código da situação tributária (cClassTribIBSCBS ) possui indicador que não permite o uso de diferimento (permiteDiferimento=false)
E0972	Grupo de diferimento para IBS/CBS deve ser informado.		
E0714	Arquivo enviado com erro na assinatura.	Signature	A assinatura da DPS deve ser válida.
E0715	Certificado Digital da assinatura inválido.		
E0716	Certificado Digital fora do padrão estabelecido.		
E0717	A assinatura é obrigatória quando for enviado para o Web Service.		
E0718	A assinatura deve ser feita com o certificado digital do emitente da DPS. \n 		
E1630	Arquivo enviado com erro na assinatura.	Signature	A assinatura da NFS-e deve ser válida.
E1632	Certificado Digital da assinatura inválido.		
E1634	Certificado Digital fora do padrão estabelecido.		
E1636	A assinatura é obrigatória quando for enviado paraa API.		
E1638	A assinatura deve ser feita com o certificado digital do municiípio emissor da NFS-e.		
